raw,clean_text,clean_token
Good but pretty crowded. Other beaches nearby are better,good but pretty crowded. other beaches nearby are better,"['good', 'but', 'pretty', 'crowded', '.', 'other', 'beaches', 'nearby', 'are', 'better']"
"Good sand, VERY crowded. The water isn't really clear (I was when there were waves) but overall a fun beach.","good sand, very crowded. the water is not really clear i was when there were waves but overall a fun beach.","['good', 'sand', ',', 'very', 'crowded', '.', 'the', 'water', 'is', 'not', 'really', 'clear', 'i', 'was', 'when', 'there', 'were', 'waves', 'but', 'overall', 'a', 'fun', 'beach', '.']"
Crowded but nice!,crowded but nice,"['crowded', 'but', 'nice']"
Pretty beach. Less crowded if you walk a little further.,pretty beach. less crowded if you walk a little further.,"['pretty', 'beach', '.', 'less', 'crowded', 'if', 'you', 'walk', 'a', 'little', 'further', '.']"
Nice clean beach. Did not see any rubbish. Lots of water activity’s. Sunbathing chairs available.,nice clean beach. did not see any rubbish. lots of water activity 's. sunbathing chairs available.,"['nice', 'clean', 'beach', '.', 'did', 'not', 'see', 'any', 'rubbish', '.', 'lots', 'of', 'water', 'activity', ""'s"", '.', 'sunbathing', 'chairs', 'available', '.']"
Good one.,good one.,"['good', 'one', '.']"
Great beach. Was pretty crowded but not as crowded as I expected. Had plenty to do on the many streets near it as well.,great beach. was pretty crowded but not as crowded as i expected. had plenty to do on the many streets near it as well.,"['great', 'beach', '.', 'was', 'pretty', 'crowded', 'but', 'not', 'as', 'crowded', 'as', 'i', 'expected', '.', 'had', 'plenty', 'to', 'do', 'on', 'the', 'many', 'streets', 'near', 'it', 'as', 'well', '.']"
Overcrowded with lots of activities... The local people who handle the beach activities are very rude and arrrogant…,overcrowded with lots of activities. the local people who handle the beach activities are very rude and arrrogant.,"['overcrowded', 'with', 'lots', 'of', 'activities', '.', 'the', 'local', 'people', 'who', 'handle', 'the', 'beach', 'activities', 'are', 'very', 'rude', 'and', 'arrrogant', '.']"
Beautiful beach with clear shallow sea water. Various water sports activities available. Its worth going there.,beautiful beach with clear shallow sea water. various water sports activities available. its worth going there.,"['beautiful', 'beach', 'with', 'clear', 'shallow', 'sea', 'water', '.', 'various', 'water', 'sports', 'activities', 'available', '.', 'its', 'worth', 'going', 'there', '.']"
Clean beach. Spent a marvelous afternoon.,clean beach. spent a marvelous afternoon.,"['clean', 'beach', '.', 'spent', 'a', 'marvelous', 'afternoon', '.']"
Lovely beach close to many amenities. Highly recommended,lovely beach close to many amenities. highly recommended,"['lovely', 'beach', 'close', 'to', 'many', 'amenities', '.', 'highly', 'recommended']"
Near Bangla market and good.,near bangla market and good.,"['near', 'bangla', 'market', 'and', 'good', '.']"
One of the good ones but gets busy,one of the good ones but gets busy,"['one', 'of', 'the', 'good', 'ones', 'but', 'gets', 'busy']"
Would be five stars if they could sort out the plastic problem!,would be five stars if they could sort out the plastic problem,"['would', 'be', 'five', 'stars', 'if', 'they', 'could', 'sort', 'out', 'the', 'plastic', 'problem']"
Nothing special and Alot of shoppers,nothing special and alot of shoppers,"['nothing', 'special', 'and', 'alot', 'of', 'shoppers']"
