raw,clean_text,clean,clean-default
"Different from the information in the net, the beach is clean, calm ans nice for families. İt is easy accessible, with a lot of options for cheap and tasty street food.",different from the information in the net the beach is clean calm ans nice for families it is easy accessible with a lot of options for cheap and tasty street food,"['different', 'from', 'the', 'information', 'in', 'the', 'net', 'the', 'beach', 'is', 'clean', 'calm', 'ans', 'nice', 'for', 'families', 'it', 'is', 'easy', 'accessible', 'with', 'a', 'lot', 'of', 'options', 'for', 'cheap', 'and', 'tasty', 'street', 'food']","['different', 'information', 'net', 'beach', 'clean', 'calm', 'ans', 'nice', 'family', 'easy', 'accessible', 'lot', 'option', 'cheap', 'tasty', 'street', 'food']"
"A busy but exciting beach with plenty of exiting opportunities for sports etc. Excellent local restaurants and bars, shops etc.",a busy but exciting beach with plenty of exiting opportunities for sports etc excellent local restaurants and bars shops etc,"['a', 'busy', 'but', 'exciting', 'beach', 'with', 'plenty', 'of', 'exiting', 'opportunities', 'for', 'sports', 'etc', 'excellent', 'local', 'restaurants', 'and', 'bars', 'shops', 'etc']","['busy', 'exciting', 'beach', 'plenty', 'exit', 'opportunity', 'sport', 'etc', 'excellent', 'local', 'restaurant', 'bar', 'shop', 'etc']"
Besides the location not much going for it especially as there are so many fantastic beaches all around Patong and Phuket in general.,besides the location not much going for it especially as there are so many fantastic beaches all around patong and phuket in general,"['besides', 'the', 'location', 'not', 'much', 'going', 'for', 'it', 'especially', 'as', 'there', 'are', 'so', 'many', 'fantastic', 'beaches', 'all', 'around', 'patong', 'and', 'phuket', 'in', 'general']","['location', 'not', 'go', 'especially', 'fantastic', 'beach', 'patong', 'phuket', 'general']"
"Patong Beach was absolutely amazing.  There are a bunch of restaurants that will provide you with great food and some shade when you need a break from the water.  Jet skis, parasailing and various water activities also await you here.  I was here for New Years Eve and the beach…",patong beach was absolutely amazing there are a bunch of restaurants that will provide you with great food and some shade when you need a break from the water jet skis parasailing and various water activities also await you here i was here for new years eve and the beach,"['patong', 'beach', 'was', 'absolutely', 'amazing', 'there', 'are', 'a', 'bunch', 'of', 'restaurants', 'that', 'will', 'provide', 'you', 'with', 'great', 'food', 'and', 'some', 'shade', 'when', 'you', 'need', 'a', 'break', 'from', 'the', 'water', 'jet', 'skis', 'parasailing', 'and', 'various', 'water', 'activities', 'also', 'await', 'you', 'here', 'i', 'was', 'here', 'for', 'new', 'years', 'eve', 'and', 'the', 'beach']","['patong', 'beach', 'absolutely', 'amazing', 'bunch', 'restaurant', 'provide', 'great', 'food', 'shade', 'need', 'break', 'water', 'jet', 'ski', 'parasailing', 'water', 'activity', 'await', 'new', 'year', 'eve', 'beach']"
"The beach and restaurants are ok, don’t come here for a relaxing holiday. Come here when you want to party and to date. The area has very nice places to visit. The traffic is busy and the distances to the nice sceneries to visit James Bond rock it’s about 100 km.",the beach and restaurants are ok do not come here for a relaxing holiday come here when you want to party and to date the area has very nice places to visit the traffic is busy and the distances to the nice sceneries to visit james bond rock it is about km,"['the', 'beach', 'and', 'restaurants', 'are', 'ok', 'do', 'not', 'come', 'here', 'for', 'a', 'relaxing', 'holiday', 'come', 'here', 'when', 'you', 'want', 'to', 'party', 'and', 'to', 'date', 'the', 'area', 'has', 'very', 'nice', 'places', 'to', 'visit', 'the', 'traffic', 'is', 'busy', 'and', 'the', 'distances', 'to', 'the', 'nice', 'sceneries', 'to', 'visit', 'james', 'bond', 'rock', 'it', 'is', 'about', 'km']","['beach', 'restaurant', 'ok', 'not', 'come', 'relax', 'holiday', 'come', 'want', 'party', 'date', 'area', 'nice', 'place', 'visit', 'traffic', 'busy', 'distance', 'nice', 'scenery', 'visit', 'james', 'bond', 'rock', 'km']"
"Not a nice beach, over crowded and dirty. Would definitely avoid if possible. But if that didn’t bother you than give it a go.",not a nice beach over crowded and dirty would definitely avoid if possible but if that did not bother you than give it a go,"['not', 'a', 'nice', 'beach', 'over', 'crowded', 'and', 'dirty', 'would', 'definitely', 'avoid', 'if', 'possible', 'but', 'if', 'that', 'did', 'not', 'bother', 'you', 'than', 'give', 'it', 'a', 'go']","['not', 'nice', 'beach', 'crowded', 'dirty', 'definitely', 'avoid', 'possible', 'not', 'bother']"
I was very surprised how clean the beach was and even over New Years it never felt too busy. Clear water. Some nice beach bars along the front too.,i was very surprised how clean the beach was and even over new years it never felt too busy clear water some nice beach bars along the front too,"['i', 'was', 'very', 'surprised', 'how', 'clean', 'the', 'beach', 'was', 'and', 'even', 'over', 'new', 'years', 'it', 'never', 'felt', 'too', 'busy', 'clear', 'water', 'some', 'nice', 'beach', 'bars', 'along', 'the', 'front', 'too']","['surprised', 'clean', 'beach', 'new', 'year', 'feel', 'busy', 'clear', 'water', 'nice', 'beach', 'bar']"
"Very beautiful beach but very crowded . Too many water excursion people and long tail boats .  Will Recommend Paradise Beach , the best beach in Phuket , there is entrance fee of 200 bahts bt its worth paying .  Should also visit Karon and Kata Beach , Very clear water and very…",very beautiful beach but very crowded too many water excursion people and long tail boats will recommend paradise beach the best beach in phuket there is entrance fee of bahts bt its worth paying should also visit karon and kata beach very clear water and very,"['very', 'beautiful', 'beach', 'but', 'very', 'crowded', 'too', 'many', 'water', 'excursion', 'people', 'and', 'long', 'tail', 'boats', 'will', 'recommend', 'paradise', 'beach', 'the', 'best', 'beach', 'in', 'phuket', 'there', 'is', 'entrance', 'fee', 'of', 'bahts', 'bt', 'its', 'worth', 'paying', 'should', 'also', 'visit', 'karon', 'and', 'kata', 'beach', 'very', 'clear', 'water', 'and', 'very']","['beautiful', 'beach', 'crowded', 'water', 'excursion', 'people', 'long', 'tail', 'boat', 'recommend', 'paradise', 'beach', 'good', 'beach', 'phuket', 'entrance', 'fee', 'baht', 'bt', 'worth', 'pay', 'visit', 'karon', 'kata', 'beach', 'clear', 'water']"
"Great beach for relaxing and people watching. Beautifully clean, there is a no smoking policy in place on the beach now but plenty of smoking areas. Great food and drink stands catering for every taste. The chicken kebabs and the potato skewers are lovely. There are plenty of…",great beach for relaxing and people watching beautifully clean there is a no smoking policy in place on the beach now but plenty of smoking areas great food and drink stands catering for every taste the chicken kebabs and the potato skewers are lovely there are plenty of,"['great', 'beach', 'for', 'relaxing', 'and', 'people', 'watching', 'beautifully', 'clean', 'there', 'is', 'a', 'no', 'smoking', 'policy', 'in', 'place', 'on', 'the', 'beach', 'now', 'but', 'plenty', 'of', 'smoking', 'areas', 'great', 'food', 'and', 'drink', 'stands', 'catering', 'for', 'every', 'taste', 'the', 'chicken', 'kebabs', 'and', 'the', 'potato', 'skewers', 'are', 'lovely', 'there', 'are', 'plenty', 'of']","['great', 'beach', 'relax', 'people', 'watch', 'beautifully', 'clean', 'no', 'smoke', 'policy', 'place', 'beach', 'plenty', 'smoking', 'area', 'great', 'food', 'drink', 'stand', 'catering', 'taste', 'chicken', 'kebab', 'potato', 'skewer', 'lovely', 'plenty']"
We went to Celebrity Ink and were more than impressed Patrick went above and beyond to make sure everything went better than we could imagine . If you’re looking for a tattoo this is definitely the place to go !!,we went to celebrity ink and were more than impressed patrick went above and beyond to make sure everything went better than we could imagine if you are looking for a tattoo this is definitely the place to go,"['we', 'went', 'to', 'celebrity', 'ink', 'and', 'were', 'more', 'than', 'impressed', 'patrick', 'went', 'above', 'and', 'beyond', 'to', 'make', 'sure', 'everything', 'went', 'better', 'than', 'we', 'could', 'imagine', 'if', 'you', 'are', 'looking', 'for', 'a', 'tattoo', 'this', 'is', 'definitely', 'the', 'place', 'to', 'go']","['go', 'celebrity', 'ink', 'impressed', 'patrick', 'go', 'sure', 'go', 'better', 'imagine', 'look', 'tattoo', 'definitely', 'place']"
