raw,clean_text,clean_token
"I was wearing off shoulder top that time and wasn't aware about the dress code that you have to follow to enter the temple. You need to wear the top which covers your shoulder and skirt or pant to the knees.
But even if you are wearing something else they provide you a stall and a skirt to cover your shoulder and legs.There were amazing details in the building with great views.Definitely worth the visit.",i was wearing off shoulder top that time and was not aware about the dress code that you have to follow to enter the temple. you need to wear the top which covers your shoulder and skirt or pant to the knees. but even if you are wearing something else they provide you a stall and a skirt to cover your shoulder and legs. there were amazing details in the building with great views. definitely worth the visit.,"['i', 'was', 'wearing', 'off', 'shoulder', 'top', 'that', 'time', 'and', 'was', 'not', 'aware', 'about', 'the', 'dress', 'code', 'that', 'you', 'have', 'to', 'follow', 'to', 'enter', 'the', 'temple', '.', 'you', 'need', 'to', 'wear', 'the', 'top', 'which', 'covers', 'your', 'shoulder', 'and', 'skirt', 'or', 'pant', 'to', 'the', 'knees', '.', 'but', 'even', 'if', 'you', 'are', 'wearing', 'something', 'else', 'they', 'provide', 'you', 'a', 'stall', 'and', 'a', 'skirt', 'to', 'cover', 'your', 'shoulder', 'and', 'legs. there', 'were', 'amazing', 'details', 'in', 'the', 'building', 'with', 'great', 'views. definitely', 'worth', 'the', 'visit', '.']"
"Temple of 2 famous monks,,,, Luang Po Chaem and Luang Po Chuang ---- both famous for herbal medicine and tending to the injured.","temple of famous monks, luang po chaem and luang po chuang- both famous for herbal medicine and tending to the injured.","['temple', 'of', 'famous', 'monks', ',', 'luang', 'po', 'chaem', 'and', 'luang', 'po', 'chuang', '-', 'both', 'famous', 'for', 'herbal', 'medicine', 'and', 'tending', 'to', 'the', 'injured', '.']"
Wat Chalong is one of the most impressive and most popular temples in Phuket. I had really short time to explore the temple but I was very surprised. There were a lot of tourists but it was expected because of the high season. Impressive temple you must visit it. Just you need more than hour to explore the temple.,wat chalong is of the most impressive and most popular temples in phuket. i had really short time to explore the temple but i was very surprised. there were a lot of tourists but it was expected because of the high season. impressive temple you must visit it. just you need more than hour to explore the temple.,"['wat', 'chalong', 'is', 'of', 'the', 'most', 'impressive', 'and', 'most', 'popular', 'temples', 'in', 'phuket', '.', 'i', 'had', 'really', 'short', 'time', 'to', 'explore', 'the', 'temple', 'but', 'i', 'was', 'very', 'surprised', '.', 'there', 'were', 'a', 'lot', 'of', 'tourists', 'but', 'it', 'was', 'expected', 'because', 'of', 'the', 'high', 'season', '.', 'impressive', 'temple', 'you', 'must', 'visit', 'it', '.', 'just', 'you', 'need', 'more', 'than', 'hour', 'to', 'explore', 'the', 'temple', '.']"
These temples are astounding. They are so ornate. It was stunningly beautiful to see in person. Please be mindful of dress code tho for ladies no singlets or short shorts.,these temples are astounding. they are so ornate. it was stunningly beautiful to see in person. please be mindful of dress code tho for ladies no singlets or short shorts.,"['these', 'temples', 'are', 'astounding', '.', 'they', 'are', 'so', 'ornate', '.', 'it', 'was', 'stunningly', 'beautiful', 'to', 'see', 'in', 'person', '.', 'please', 'be', 'mindful', 'of', 'dress', 'code', 'tho', 'for', 'ladies', 'no', 'singlets', 'or', 'short', 'shorts', '.']"
"This temple is so magical, the place is located in nice area so a good ride along ,the views from it are great and the architecture and art work is amazing and spectacular. Plan at least an hour for this visit to enjoy and see all the corners.","this temple is so magical, the place is located in nice area so a good ride along, the views from it are great and the architecture and art work is amazing and spectacular. plan at least an hour for this visit to enjoy and see all the corners.","['this', 'temple', 'is', 'so', 'magical', ',', 'the', 'place', 'is', 'located', 'in', 'nice', 'area', 'so', 'a', 'good', 'ride', 'along', ',', 'the', 'views', 'from', 'it', 'are', 'great', 'and', 'the', 'architecture', 'and', 'art', 'work', 'is', 'amazing', 'and', 'spectacular', '.', 'plan', 'at', 'least', 'an', 'hour', 'for', 'this', 'visit', 'to', 'enjoy', 'and', 'see', 'all', 'the', 'corners', '.']"
Renowned temple made up of several buildings.. Seems popular with locals too.. Main difference is you hear fire crackers sounding off repeatedly as a way for blessings and thanking of Gods.,renowned temple made up of several buildings. seems popular with locals too. main difference is you hear fire crackers sounding off repeatedly as a way for blessings and thanking of gods.,"['renowned', 'temple', 'made', 'up', 'of', 'several', 'buildings', '.', 'seems', 'popular', 'with', 'locals', 'too', '.', 'main', 'difference', 'is', 'you', 'hear', 'fire', 'crackers', 'sounding', 'off', 'repeatedly', 'as', 'a', 'way', 'for', 'blessings', 'and', 'thanking', 'of', 'gods', '.']"
This is the major landmark of Phuket. Wat is very important historical moment of Phuket. Phuket people pay high respect to the monk status of this Wat.,this is the major landmark of phuket. wat is very important historical moment of phuket. phuket people pay high respect to the monk status of this wat.,"['this', 'is', 'the', 'major', 'landmark', 'of', 'phuket', '.', 'wat', 'is', 'very', 'important', 'historical', 'moment', 'of', 'phuket', '.', 'phuket', 'people', 'pay', 'high', 'respect', 'to', 'the', 'monk', 'status', 'of', 'this', 'wat', '.']"
"This was one the one stop in our tour that was any good. The temple was absolutely gorgeous, with intricate details abound and towering spires. The complex was quite nice as well, with several stands for shopping and places to snag cold beverages to slake the nasty heat","this was the stop in our tour that was any good. the temple was absolutely gorgeous, with intricate details abound and towering spires. the complex was quite nice as well, with several stands for shopping and places to snag cold beverages to slake the nasty heat","['this', 'was', 'the', 'stop', 'in', 'our', 'tour', 'that', 'was', 'any', 'good', '.', 'the', 'temple', 'was', 'absolutely', 'gorgeous', ',', 'with', 'intricate', 'details', 'abound', 'and', 'towering', 'spires', '.', 'the', 'complex', 'was', 'quite', 'nice', 'as', 'well', ',', 'with', 'several', 'stands', 'for', 'shopping', 'and', 'places', 'to', 'snag', 'cold', 'beverages', 'to', 'slake', 'the', 'nasty', 'heat']"
Wat Chalong is a good place to visit if you go to Phuket. It's a nice place for good pictures and also to see a little bit more of the religion and culture.,wat chalong is a good place to visit if you go to phuket. it is a nice place for good pictures and also to see a little bit more of the religion and culture.,"['wat', 'chalong', 'is', 'a', 'good', 'place', 'to', 'visit', 'if', 'you', 'go', 'to', 'phuket', '.', 'it', 'is', 'a', 'nice', 'place', 'for', 'good', 'pictures', 'and', 'also', 'to', 'see', 'a', 'little', 'bit', 'more', 'of', 'the', 'religion', 'and', 'culture', '.']"
"Many buildings to visit and the main one provides a magnificent view of the area from the 3rd floor.  I visited this temple as part of a one day tour with the Chalong Buddha, which was amazingly impressive.","many buildings to visit and the main one provides a magnificent view of the area from the 3rd floor. i visited this temple as part of a day tour with the chalong buddha, which was amazingly impressive.","['many', 'buildings', 'to', 'visit', 'and', 'the', 'main', 'one', 'provides', 'a', 'magnificent', 'view', 'of', 'the', 'area', 'from', 'the', '3rd', 'floor', '.', 'i', 'visited', 'this', 'temple', 'as', 'part', 'of', 'a', 'day', 'tour', 'with', 'the', 'chalong', 'buddha', ',', 'which', 'was', 'amazingly', 'impressive', '.']"
Impressive buildings and sculptures and well worth the visit.  You can pray or just walk around taking it all,impressive buildings and sculptures and well worth the visit. you can pray or just walk around taking it all,"['impressive', 'buildings', 'and', 'sculptures', 'and', 'well', 'worth', 'the', 'visit', '.', 'you', 'can', 'pray', 'or', 'just', 'walk', 'around', 'taking', 'it', 'all']"
Lovely trip to Chalong Temple. Beautiful buildings and views too. Well worth a trip to appreciate the majesty of the place.,lovely trip to chalong temple. beautiful buildings and views too. well worth a trip to appreciate the majesty of the place.,"['lovely', 'trip', 'to', 'chalong', 'temple', '.', 'beautiful', 'buildings', 'and', 'views', 'too', '.', 'well', 'worth', 'a', 'trip', 'to', 'appreciate', 'the', 'majesty', 'of', 'the', 'place', '.']"
Great to see. Beautiful temple with many lovely statues. Lighting of the firecrackers in the brick building is amazing to hear. Moderate dress is required.,great to see. beautiful temple with many lovely statues. lighting of the firecrackers in the brick building is amazing to hear. moderate dress is required.,"['great', 'to', 'see', '.', 'beautiful', 'temple', 'with', 'many', 'lovely', 'statues', '.', 'lighting', 'of', 'the', 'firecrackers', 'in', 'the', 'brick', 'building', 'is', 'amazing', 'to', 'hear', '.', 'moderate', 'dress', 'is', 'required', '.']"
Chalong Temple is a priceless temple of Phuket people. Is very beautiful. Convenient parking. The atmosphere inside the shady temple. Is a place with beautiful Thai art.,chalong temple is a priceless temple of phuket people. is very beautiful. convenient parking. the atmosphere inside the shady temple. is a place with beautiful thai art.,"['chalong', 'temple', 'is', 'a', 'priceless', 'temple', 'of', 'phuket', 'people', '.', 'is', 'very', 'beautiful', '.', 'convenient', 'parking', '.', 'the', 'atmosphere', 'inside', 'the', 'shady', 'temple', '.', 'is', 'a', 'place', 'with', 'beautiful', 'thai', 'art', '.']"
"I like visiting temples and churches whatever country I visit and this one didn’t disappoint, beautiful structures with the most ornate decorations on them. In side the temple was spotlessly clean with the most spectacular Buddha’s iin gold.","i like visiting temples and churches whatever country i visit and this one did not disappoint, beautiful structures with the most ornate decorations on them. in side the temple was spotlessly clean with the most spectacular buddha 's iin gold.","['i', 'like', 'visiting', 'temples', 'and', 'churches', 'whatever', 'country', 'i', 'visit', 'and', 'this', 'one', 'did', 'not', 'disappoint', ',', 'beautiful', 'structures', 'with', 'the', 'most', 'ornate', 'decorations', 'on', 'them', '.', 'in', 'side', 'the', 'temple', 'was', 'spotlessly', 'clean', 'with', 'the', 'most', 'spectacular', 'buddha', ""'s"", 'iin', 'gold', '.']"
"A must-see place if you are in Phuket, there are many temples are in campus and no entry fees, parking is easily available..all the temples are very colourful and with great architecture...story of Buddha life has been painted on the walls...devotees there pray","a must- see place if you are in phuket, there are many temples are in campus and no entry fees, parking is easily available. all the temples are very colourful and with great architecture. story of buddha life has been painted on the walls. devotees there pray","['a', 'must', '-', 'see', 'place', 'if', 'you', 'are', 'in', 'phuket', ',', 'there', 'are', 'many', 'temples', 'are', 'in', 'campus', 'and', 'no', 'entry', 'fees', ',', 'parking', 'is', 'easily', 'available', '.', 'all', 'the', 'temples', 'are', 'very', 'colourful', 'and', 'with', 'great', 'architecture', '.', 'story', 'of', 'buddha', 'life', 'has', 'been', 'painted', 'on', 'the', 'walls', '.', 'devotees', 'there', 'pray']"
This is a nice couple of temples but you can easily get through in about 20 minutes. There some shops selling trinkets and drinks,this is a nice couple of temples but you can easily get through in about minutes. there some shops selling trinkets and drinks,"['this', 'is', 'a', 'nice', 'couple', 'of', 'temples', 'but', 'you', 'can', 'easily', 'get', 'through', 'in', 'about', 'minutes', '.', 'there', 'some', 'shops', 'selling', 'trinkets', 'and', 'drinks']"
"Amazing temple - colourful, beautiful, magnificent inside out. Since it was the first and only buddhism temple that I visited I found it super exciting.","amazing temple- colourful, beautiful, magnificent inside out. since it was the first and only buddhism temple that i visited i found it super exciting.","['amazing', 'temple', '-', 'colourful', ',', 'beautiful', ',', 'magnificent', 'inside', 'out', '.', 'since', 'it', 'was', 'the', 'first', 'and', 'only', 'buddhism', 'temple', 'that', 'i', 'visited', 'i', 'found', 'it', 'super', 'exciting', '.']"
Good for a short visit. The architecture from outside is very good. I went during peak noon and it was v v hot. Otherwise an v good place. With the visit.,good for a short visit. the architecture from outside is very good. i went during peak noon and it was v v hot. otherwise an v good place. with the visit.,"['good', 'for', 'a', 'short', 'visit', '.', 'the', 'architecture', 'from', 'outside', 'is', 'very', 'good', '.', 'i', 'went', 'during', 'peak', 'noon', 'and', 'it', 'was', 'v', 'v', 'hot', '.', 'otherwise', 'an', 'v', 'good', 'place', '.', 'with', 'the', 'visit', '.']"
Very beautiful temple and an amazing opportunity to learn about local culture and history. A free activity which is worth a visit particularly if combined with the Big Buddha.,very beautiful temple and an amazing opportunity to learn about local culture and history. a free activity which is worth a visit particularly if combined with the big buddha.,"['very', 'beautiful', 'temple', 'and', 'an', 'amazing', 'opportunity', 'to', 'learn', 'about', 'local', 'culture', 'and', 'history', '.', 'a', 'free', 'activity', 'which', 'is', 'worth', 'a', 'visit', 'particularly', 'if', 'combined', 'with', 'the', 'big', 'buddha', '.']"
"I felt like I had to rate this 4 stars, because of the beautiful temple grounds, and what it stands for, but there are so many people running around, and these crazy loud fireworks, that will scare you the first time you hear them!!  It's almost a contradiction to a spiritual","i felt like i had to rate this stars, because of the beautiful temple grounds, and what it stands for, but there are so many people running around, and these crazy loud fireworks, that will scare you the first time you hear them it is almost a contradiction to a spiritual","['i', 'felt', 'like', 'i', 'had', 'to', 'rate', 'this', 'stars', ',', 'because', 'of', 'the', 'beautiful', 'temple', 'grounds', ',', 'and', 'what', 'it', 'stands', 'for', ',', 'but', 'there', 'are', 'so', 'many', 'people', 'running', 'around', ',', 'and', 'these', 'crazy', 'loud', 'fireworks', ',', 'that', 'will', 'scare', 'you', 'the', 'first', 'time', 'you', 'hear', 'them', 'it', 'is', 'almost', 'a', 'contradiction', 'to', 'a', 'spiritual']"
This place is peaceful and its like you enter another world all together.the monk was also kind enough to do a prayer for our kid.overall its a must when in phuket,this place is peaceful and its like you enter another world all together. the monk was also kind enough to do a prayer for our kid. overall its a must when in phuket,"['this', 'place', 'is', 'peaceful', 'and', 'its', 'like', 'you', 'enter', 'another', 'world', 'all', 'together. the', 'monk', 'was', 'also', 'kind', 'enough', 'to', 'do', 'a', 'prayer', 'for', 'our', 'kid. overall', 'its', 'a', 'must', 'when', 'in', 'phuket']"
"We were delighted to get to see this temple, only 20 mins from Kata Beach. Free entry, cover shoulders if you can. Shawls are provided when entering temples. Shoes removed, bare footed walk. It was very warm inside, we all came out sweaty.","we were delighted to get to see this temple, only mins from kata beach. free entry, cover shoulders if you can. shawls are provided when entering temples. shoes removed, bare footed walk. it was very warm inside, we all came out sweaty.","['we', 'were', 'delighted', 'to', 'get', 'to', 'see', 'this', 'temple', ',', 'only', 'mins', 'from', 'kata', 'beach', '.', 'free', 'entry', ',', 'cover', 'shoulders', 'if', 'you', 'can', '.', 'shawls', 'are', 'provided', 'when', 'entering', 'temples', '.', 'shoes', 'removed', ',', 'bare', 'footed', 'walk', '.', 'it', 'was', 'very', 'warm', 'inside', ',', 'we', 'all', 'came', 'out', 'sweaty', '.']"
"If you are on your first visit to Thailand, you'll love the Wat. But it is of course disappointing compared to the amazing temples in Bangkok, Chiang Mai etc. The Buddha statues seemed relatively new / modern.","if you are on your first visit to thailand, you will love the wat. but it is of course disappointing compared to the amazing temples in bangkok, chiang mai etc. the buddha statues seemed relatively new modern.","['if', 'you', 'are', 'on', 'your', 'first', 'visit', 'to', 'thailand', ',', 'you', 'will', 'love', 'the', 'wat', '.', 'but', 'it', 'is', 'of', 'course', 'disappointing', 'compared', 'to', 'the', 'amazing', 'temples', 'in', 'bangkok', ',', 'chiang', 'mai', 'etc', '.', 'the', 'buddha', 'statues', 'seemed', 'relatively', 'new', 'modern', '.']"
Beautiful gold statues of the Buddha.  Vast place to roam around the ground of the temple. We took lots of photos here!,beautiful gold statues of the buddha. vast place to roam around the ground of the temple. we took lots of photos here,"['beautiful', 'gold', 'statues', 'of', 'the', 'buddha', '.', 'vast', 'place', 'to', 'roam', 'around', 'the', 'ground', 'of', 'the', 'temple', '.', 'we', 'took', 'lots', 'of', 'photos', 'here']"
