comment,num_sentenses,num_words
"Different from the information in the net, the beach is clean, calm ans nice for families. İt is easy accessible, with a lot of options for cheap and tasty street food.",2,31
"A busy but exciting beach with plenty of exiting opportunities for sports etc. Excellent local restaurants and bars, shops etc.",3,20
Besides the location not much going for it especially as there are so many fantastic beaches all around Patong and Phuket in general.,1,23
"Patong Beach was absolutely amazing.  There are a bunch of restaurants that will provide you with great food and some shade when you need a break from the water.  Jet skis, parasailing and various water activities also await you here.  I was here for New Years Eve and the beach…",4,50
"The beach and restaurants are ok, don’t come here for a relaxing holiday. Come here when you want to party and to date. The area has very nice places to visit. The traffic is busy and the distances to the nice sceneries to visit James Bond rock it’s about 100 km.",4,51
"Not a nice beach, over crowded and dirty. Would definitely avoid if possible. But if that didn’t bother you than give it a go.",4,24
I was very surprised how clean the beach was and even over New Years it never felt too busy. Clear water. Some nice beach bars along the front too.,3,29
"Very beautiful beach but very crowded . Too many water excursion people and long tail boats .  Will Recommend Paradise Beach , the best beach in Phuket , there is entrance fee of 200 bahts bt its worth paying .  Should also visit Karon and Kata Beach , Very clear water and very…",3,53
"Great beach for relaxing and people watching. Beautifully clean, there is a no smoking policy in place on the beach now but plenty of smoking areas. Great food and drink stands catering for every taste. The chicken kebabs and the potato skewers are lovely. There are plenty of…",5,48
We went to Celebrity Ink and were more than impressed Patrick went above and beyond to make sure everything went better than we could imagine . If you’re looking for a tattoo this is definitely the place to go !!,2,40
"We have been to Patong Beach many times with our children (18,13 & 8) and while it is a very busy place and you will be asked 100s of times if you want to buy something , it can still be a relaxing place. The surf is so small that the kids are safe to swim in it. You can sit…",3,61
"Beach it itself is clean enough (unlike others I have visited in Thailand), but given an average score as prices are high for sunbed use, drinks and food. It is hard to relax due to the number of people trying to sell you sunglasses, jewellery and anything else you can think of",2,52
It's the most popular beach in Phuket filled up with tourists till sunset. I would'nt recommend it to you if you are looking for some me time as it's always crowded but i won't give it a bad review for that as well.,2,43
"Bangla road is over-estimated and expensive. It is quiet in the morning and extremely busy and overcrowded at night. The saying: “ if it’s too loud, you are too old” - might be applicable, though my experience is: too loud, too busy and too expensive. Be careful: they sell fake…",4,50
Overcrowded with very rude Europeans unfortunately.. the typical Asian beach experience.FULL of sun loungers and people hounding you to purchase goods..,3,21
"If you are staying in Patong, this is an easy clean cute beach to access. Just a basic beach, must get there early if you want shade or a lounge chair. They need to add more chairs, that’s my only complaint. But for a free, local easy access beach. It works! Obviously, it’s…",5,53
